,namePlayer,value
309,Jamal Murray,29467800.0
310,Jamal Murray,31650600.0
311,Jamal Murray,33833400.0
312,Jamal Murray,36016200.0
313,JaMychal Green,7199760.0
314,JaMychal Green,7559748.0
315,JaVale McGee,4200000.0
316,Michael Porter Jr,3550800.0
317,Michael Porter Jr,5258735.0
318,Michael Porter Jr,7314900.0
319,Monte Morris,1723707.0
320,Monte Morris,8449074.0
321,Monte Morris,9125000.0
322,Monte Morris,9800926.0
323,Nikola Jokic,29542010.0
324,Nikola Jokic,31579390.0
325,Nikola Jokic,33616770.0
326,Paul Millsap,10000000.0
327,PJ Dozier,1762796.0
328,PJ Dozier,1910860.0
329,Vlatko Cancar,1517981.0
330,Vlatko Cancar,1782621.0
331,Vlatko Cancar,2228276.0
332,Will Barton,13723214.0
333,Will Barton,14669642.0
334,Zeke Nnaji,2379840.0
335,Zeke Nnaji,2498760.0
336,Zeke Nnaji,2617800.0
337,Zeke Nnaji,4306281.0
338,Zeke Nnaji,6235495.0
339,Blake Griffin,32670565.0
340,Blake Griffin,29764126.0
341,Cory Joseph,12600000.0
342,Cory Joseph,12600000.0
343,Deividas Sirvydis,898310.0
344,Deividas Sirvydis,1517981.0
345,Deividas Sirvydis,1782621.0
346,Deividas Sirvydis,2228276.0
347,Dennis Smith Jr,5686677.0
348,Dennis Smith Jr,7705447.0
349,Dewayne Dedmon,2866667.0
350,Dewayne Dedmon,2866667.0
351,Dewayne Dedmon,2866667.0
352,Dewayne Dedmon,2866666.0
353,Dewayne Dedmon,2866666.0
354,Dzanan Musa,2002800.0
355,Frank Jackson,1789256.0
356,Hamidou Diallo,1663861.0
357,Hamidou Diallo,2079826.0
358,Isaiah Stewart II,3121080.0
359,Isaiah Stewart II,3277080.0
360,Isaiah Stewart II,3433320.0
361,Isaiah Stewart II,5266713.0
362,Isaiah Stewart II,7399732.0
363,Jahlil Okafor,1882867.0
364,Jahlil Okafor,2130023.0
365,Jerami Grant,19050000.0
366,Jerami Grant,20002500.0
367,Jerami Grant,20955000.0
368,Josh Jackson,4767000.0
369,Josh Jackson,5005350.0
370,Killian Hayes,5307120.0
371,Killian Hayes,5572680.0
372,Killian Hayes,5837760.0
