,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
0,Alaa Abdelnaby,Duke,USA,5.7,0.3,3.3,0.0,1990
1,Zaid Abdul-Aziz,Iowa State,USA,9.0,1.2,8.0,0.0,1968
2,Kareem Abdul-Jabbar,UCLA,USA,24.6,3.6,11.2,18.0,1969
3,Mahmoud Abdul-Rauf,Louisiana State,USA,14.6,3.5,1.9,0.0,1990
4,Tariq Abdul-Wahad,San Jose State,France,7.8,1.1,3.3,0.0,1997
5,Shareef Abdur-Rahim,California,USA,18.1,2.5,7.5,1.0,1996
6,Tom Abernethy,Indiana,USA,5.6,1.2,3.2,0.0,1976
7,Forest Able,Western Kentucky,USA,0.0,1.0,1.0,0.0,1956
8,John Abramovic,Salem,USA,9.5,0.7,,0.0,Undrafted
9,Alex Abrines,FC Barcelona,Spain,5.3,0.5,1.4,0.0,2013
10,Alex Acker,Pepperdine,USA,2.7,0.5,1.0,0.0,2005
11,Donald Ackerman,Long Island-Brooklyn,USA,1.5,0.8,0.5,0.0,1953
12,Mark Acres,Oral Roberts,USA,3.6,0.5,4.1,0.0,1985
13,Charles Acton,Hillsdale,USA,3.3,0.5,2.0,0.0,Undrafted
14,Quincy Acy,Baylor,USA,4.9,0.6,3.5,0.0,2012
15,Alvan Adams,Oklahoma,USA,14.1,4.1,7.0,1.0,1975
16,Don Adams,Northwestern,USA,8.7,1.8,5.6,0.0,1970
17,Hassan Adams,Arizona,USA,2.5,0.2,1.2,0.0,2006
18,Jaylen Adams,St. Bonaventure,USA,0.3,0.3,0.4,,Undrafted
19,Jordan Adams,UCLA,USA,3.2,0.6,0.9,0.0,2014
20,Michael Adams,Boston College,USA,14.7,6.4,2.9,1.0,1985
21,Steven Adams,Pittsburgh,New Zealand,8.1,2.0,9.2,,2013
22,Rafael Addison,Syracuse,USA,5.8,0.9,2.1,0.0,1986
23,Bam Adebayo,Kentucky,USA,19.2,5.4,9.5,,2017
24,Deng Adel,Louisville,South Sudan,1.7,0.3,1.0,0.0,Undrafted
25,Rick Adelman,Loyola-Marymount,USA,7.7,3.5,2.4,0.0,1968
26,Jeff Adrien,Connecticut,USA,4.6,0.7,4.3,0.0,Undrafted
27,Arron Afflalo,UCLA,USA,10.8,1.8,2.9,0.0,2007
28,Maurice Ager,Michigan State,USA,2.1,0.2,0.6,0.0,2006
29,Mark Aguirre,DePaul,USA,20.0,3.1,5.0,3.0,1981
30,Blake Ahearn,Missouri State,USA,4.6,1.2,1.2,0.0,Undrafted
31,Danny Ainge,Brigham Young,USA,11.5,4.0,2.7,1.0,1981
32,Alexis Ajinca,Hyeres-Toulon,France,5.3,0.5,3.9,0.0,2008
33,Henry Akin,Morehead State,USA,3.5,0.5,2.1,0.0,1966
34,Josh Akognon,California State-Fullerton,USA,1.7,0.3,0.3,0.0,Undrafted
35,DeVaughn Akoon-Purcell,Illinois State,Trinidad and Tobago,1.0,0.9,0.6,0.0,Undrafted
36,Solomon Alabi,Florida State,Nigeria,1.5,0.2,2.3,0.0,2010
37,Mark Alarie,Duke,USA,7.5,1.1,3.4,0.0,1986
38,Gary Alcorn,Fresno State,USA,3.3,0.3,4.2,0.0,1959
39,Furkan Aldemir,Galatasaray,Turkey,2.3,0.7,4.3,0.0,2012
40,Cole Aldrich,Kansas,USA,3.1,0.5,3.3,0.0,2010
41,LaMarcus Aldridge,Texas,USA,13.7,1.7,4.5,,2006
42,Chuck Aleksinas,Connecticut,USA,5.1,0.5,3.6,0.0,1982
43,Cliff Alexander,Kansas,USA,1.3,0.0,0.8,0.0,Undrafted
44,Cory Alexander,Virginia,USA,5.5,2.7,1.6,0.0,1995
45,Courtney Alexander,Fresno State,USA,9.0,1.2,2.2,0.0,2000
46,Gary Alexander,South Florida,USA,1.7,0.2,1.4,0.0,Undrafted
47,Joe Alexander,West Virginia,USA,4.2,0.7,1.8,0.0,2008
48,Kyle Alexander,Tennessee,Canada,1.0,0.0,1.5,0.0,Undrafted
49,Victor Alexander,Iowa State,USA,8.9,0.9,4.8,0.0,1991
50,Nickeil Alexander-Walker,Virginia Tech,Canada,9.2,1.9,2.8,,2019
51,Steve Alford,Indiana,USA,4.4,1.0,0.9,0.0,1987
52,Rawle Alkins,Arizona,USA,3.7,1.3,2.6,0.0,Undrafted
53,Bob Allen,Marshall,USA,1.8,0.4,2.1,0.0,1968
54,Grayson Allen,Duke,USA,9.5,2.1,3.1,,2018
55,Jarrett Allen,Texas,USA,12.9,1.6,9.9,,2017
56,Jerome Allen,Pennsylvania,USA,2.9,1.7,1.1,0.0,1995
57,Kadeem Allen,Arizona,USA,5.5,2.3,1.5,0.0,2017
58,Lavoy Allen,Temple,USA,4.8,1.0,4.8,0.0,2011
59,Lucius Allen,UCLA,USA,13.4,4.5,3.1,0.0,1969
60,Malik Allen,Villanova,USA,4.9,0.5,2.8,0.0,Undrafted
61,Randy Allen,Florida State,USA,3.6,0.3,2.1,0.0,Undrafted
62,Ray Allen,Connecticut,USA,18.9,3.4,4.1,10.0,1996
63,Tony Allen,Oklahoma State,USA,8.1,1.3,3.5,0.0,2004
64,Odis Allison,UNLV,USA,1.9,0.3,1.3,0.0,1971
65,Lance Allred,Weber State,USA,1.0,0.0,0.3,0.0,Undrafted
66,Darrell Allums,UCLA,USA,2.7,1.1,3.0,0.0,1980
67,Morris Almond,Rice,USA,3.1,0.3,1.2,0.0,2007
68,Derrick Alston,Duquesne,USA,5.4,0.7,3.8,0.0,1994
69,Rafer Alston,Fresno State,USA,10.1,4.8,2.8,0.0,1998
70,Peter Aluma,Liberty,USA,1.0,0.0,1.0,0.0,Undrafted
71,John Amaechi,Penn State,United Kingdom,6.2,0.8,2.6,0.0,Undrafted
72,Ashraf Amaya,Southern Illinois,USA,4.5,0.4,4.2,0.0,Undrafted
73,Al-Farouq Aminu,Wake Forest,USA,5.4,1.8,5.1,,2010
74,Lou Amundson,UNLV,USA,3.7,0.4,3.6,0.0,Undrafted
75,Bob Anderegg,Michigan State,USA,4.0,0.9,2.1,0.0,1959
76,Chris Andersen,Blinn J.C.,USA,5.4,0.5,5.0,0.0,Undrafted
77,David Andersen,FC Barcelona,Australia,4.9,0.6,2.8,0.0,2002
78,Alan Anderson,Michigan State,USA,7.3,1.1,2.2,0.0,Undrafted
79,Antonio Anderson,Memphis,USA,2.0,0.0,1.0,0.0,Undrafted
80,Cliff Anderson,St. Joseph's (PA),USA,3.0,0.8,1.3,0.0,1967
81,Daniel Anderson,Southern California,USA,3.7,1.7,1.0,0.0,1974
82,Derek Anderson,Kentucky,USA,12.0,3.4,3.2,0.0,1997
83,Dwight Anderson,Southern California,USA,4.2,0.6,0.4,0.0,1982
84,Eric Anderson,Indiana,USA,1.6,0.2,1.1,0.0,Undrafted
85,Greg Anderson,Houston,USA,7.3,0.6,6.2,0.0,1987
86,James Anderson,Oklahoma State,USA,5.8,1.2,2.3,0.0,2010
87,Jerome Anderson,West Virginia,USA,2.6,0.3,0.5,0.0,1975
88,Justin Anderson,Virginia,USA,5.2,0.7,2.5,0.0,2015
89,Kenny Anderson,Georgia Tech,USA,12.6,6.1,3.1,1.0,1991
90,Kim Anderson,Missouri,USA,3.0,0.7,2.1,0.0,1978
91,Kyle Anderson,UCLA,USA,12.8,3.4,5.8,,2014
92,Michael Anderson,Drexel,USA,5.7,4.3,2.5,0.0,1988
93,Mitchell Anderson,Bradley,USA,4.8,0.7,2.8,0.0,1982
94,Nick Anderson,Illinois,USA,14.4,2.6,5.1,0.0,1989
95,Richard Anderson,California-Santa Barbara,USA,5.6,1.5,3.5,0.0,1982
96,Ron Anderson,Fresno State,USA,10.6,1.4,3.5,0.0,1984
97,Ryan Anderson,California,USA,12.3,0.9,5.3,0.0,2008
98,Shandon Anderson,Georgia,USA,7.4,1.4,3.1,0.0,1996
99,Willie Anderson,Georgia,USA,12.2,3.8,3.8,0.0,1988
100,Wally Anderzunas,Creighton,USA,3.6,0.2,1.9,0.0,1969
101,Martynas Andriuskevicius,Zalgiris,Lithuania,0.0,0.0,0.7,0.0,2005
102,Don Anielak,Missouri State,USA,3.0,0.0,2.0,0.0,1954
103,Ike Anigbogu,UCLA,USA,0.9,0.1,0.9,0.0,2017
104,Michael Ansley,Alabama,USA,6.9,0.4,4.2,0.0,1989
105,Chris Anstey,South East Melbourne,Australia,5.2,0.8,3.4,0.0,1997
106,Giannis Antetokounmpo,Filathlitikos,Greece,29.0,6.4,11.7,,2013
107,Kostas Antetokounmpo,Dayton,Greece,1.2,0.0,1.8,,2018
108,Thanasis Antetokounmpo,Panathinaikos,Greece,2.2,0.7,2.0,,2014
109,Carmelo Anthony,Syracuse,USA,14.0,1.7,3.3,,2003
110,Greg Anthony,UNLV,USA,7.3,4.0,1.9,0.0,1991
111,Joel Anthony,UNLV,Canada,2.2,0.2,2.8,0.0,Undrafted
112,Pero Antic,Olympiacos,Macedonia,6.3,0.9,3.5,0.0,Undrafted
113,OG Anunoby,Indiana,United Kingdom,14.0,1.6,5.7,,2017
114,Keith Appling,Michigan State,USA,1.2,0.2,0.2,0.0,Undrafted
115,Rafael Araujo,Brigham Young,Brazil,2.8,0.3,2.8,0.0,2004
116,Stacey Arceneaux,Iowa State,USA,7.1,0.6,4.6,0.0,Undrafted
117,Nate Archibald,Texas-El Paso,USA,18.8,7.4,2.3,6.0,1970
118,Robert Archibald,Illinois,Scotland,1.2,0.4,1.6,0.0,2002
119,Ryan Arcidiacono,Villanova,USA,3.2,1.2,1.6,,Undrafted
120,Jim Ard,Cincinnati,USA,3.5,0.7,3.8,0.0,1970
121,Gilbert Arenas,Arizona,USA,20.7,5.3,3.9,3.0,2001
122,Trevor Ariza,UCLA,USA,4.0,1.0,3.3,,2004
123,Paul Arizin,Villanova,USA,22.8,2.3,8.6,9.0,1950
124,Joe Arlauckas,Niagara,USA,3.8,0.9,1.4,0.0,1987
125,B.J. Armstrong,Iowa,USA,9.8,3.3,1.8,1.0,1989
126,Bob Armstrong,Michigan State,USA,1.5,0.2,2.1,0.0,1955
127,Brandon Armstrong,Pepperdine,USA,2.2,0.2,0.6,0.0,2001
128,Darrell Armstrong,Fayetteville State,USA,9.2,4.0,2.7,0.0,Undrafted
129,Hilton Armstrong,Connecticut,USA,3.0,0.3,2.6,0.0,2006
130,Paul Armstrong,Indiana,USA,6.8,2.3,2.3,0.0,Undrafted
131,Tate Armstrong,Duke,USA,3.8,1.1,1.0,0.0,1977
132,Jesse Arnelle,Penn State,USA,4.7,0.6,5.5,0.0,1955
133,Jay Arnette,Texas,USA,3.7,1.2,1.0,0.0,1960
134,Bob Arnzen,Notre Dame,USA,5.5,0.4,2.8,0.0,1969
135,Carlos Arroyo,Florida International,Puerto Rico,6.6,3.1,1.7,0.0,Undrafted
136,Darrell Arthur,Kansas,USA,6.5,0.8,3.5,0.0,2008
137,John Arthurs,Tulane,USA,3.2,1.5,1.3,0.0,1969
138,Jamel Artis,Pittsburgh,USA,5.1,1.2,2.5,0.0,Undrafted
139,Omer Asik,Fenerbahce,Turkey,5.3,0.6,7.1,0.0,2008
140,Vincent Askew,Memphis,USA,7.1,2.2,2.5,0.0,1987
141,Keith Askins,Alabama,USA,3.8,0.8,2.9,0.0,Undrafted
142,Don Asmonga,Alliance,USA,0.7,0.7,0.1,0.0,Undrafted
143,Richard Atha,Indiana State,USA,3.2,1.2,1.5,0.0,1953
144,Chucky Atkins,South Florida,USA,9.9,3.4,1.7,0.0,Undrafted
145,Alvin Attles,North Carolina A&T,USA,8.9,3.5,3.5,0.0,1960
146,Chet Aubuchon,Michigan State,USA,2.2,0.7,,0.0,Undrafted
147,Stacey Augmon,UNLV,USA,8.0,1.6,3.2,0.0,1991
148,D.J. Augustin,Texas,USA,6.1,3.0,1.4,,2008
149,James Augustine,Illinois,USA,1.6,0.1,1.2,0.0,2006
150,Ike Austin,Arizona State,USA,7.6,1.2,4.7,0.0,1991
151,John Austin,Boston College,USA,5.8,1.0,1.8,0.0,1966
152,Ken Austin,Rice,USA,1.7,0.1,0.4,0.0,1983
153,Anthony Avent,Seton Hall,USA,5.6,0.8,4.5,0.0,1991
154,William Averitt,Pepperdine,USA,8.3,2.5,1.2,0.0,1973
155,William Avery,Duke,USA,2.7,1.4,0.7,0.0,1999
156,Dennis Awtrey,Santa Clara,USA,4.8,2.0,4.6,0.0,1970
157,Gustavo Ayon,Baloncesto Fuenlabrada,Mexico,4.7,1.3,4.4,0.0,Undrafted
158,Jeff Ayres,Arizona State,USA,2.9,0.4,2.7,0.0,2009
159,Deandre Ayton,Arizona,Bahamas,14.5,1.6,11.0,,2018
160,Kelenna Azubuike,Kentucky,United Kingdom,10.5,1.1,4.0,0.0,Undrafted
161,Chris Babb,Iowa State,USA,1.6,0.2,1.2,0.0,Undrafted
162,Luke Babbitt,Nevada-Reno,USA,4.8,0.6,2.2,0.0,2010
163,Milos Babic,Tennessee Tech,USA,1.8,0.5,1.0,0.0,1990
164,Johnny Bach,Fordham,USA,3.5,0.7,,0.0,1948
165,Dwayne Bacon,Florida State,USA,9.9,1.1,2.8,,2017
166,Jim Baechtold,Eastern Kentucky,USA,9.7,2.1,3.1,0.0,1952
167,Dalibor Bagaric,Benston Zagreb,Croatia,2.6,0.4,2.5,0.0,2000
168,John Bagley,Boston College,USA,8.7,6.0,2.6,0.0,1982
169,Marvin Bagley III,Duke,USA,13.9,0.9,7.4,,2018
170,Carl Bailey,Tuskegee,USA,2.0,0.0,0.0,0.0,1980
171,Gus Bailey,Texas-El Paso,USA,2.6,1.1,1.7,0.0,1974
172,James Bailey,Rutgers,USA,8.8,0.8,5.0,0.0,1979
173,Thurl Bailey,North Carolina State,USA,12.8,1.4,5.1,0.0,1983
174,Toby Bailey,UCLA,USA,3.3,0.6,1.7,0.0,1998
175,Cameron Bairstow,New Mexico,Australia,1.2,0.2,1.0,0.0,2014
176,Mark Baker,Ohio State,USA,0.0,0.0,0.0,0.0,Undrafted
177,Maurice Baker,Oklahoma State,USA,0.0,0.2,0.4,0.0,Undrafted
178,Norm Baker,Victoria,Canada,0.0,0.0,,0.0,Undrafted
179,Ron Baker,Wichita State,USA,3.1,1.8,1.4,0.0,Undrafted
180,Vin Baker,Hartford,USA,15.0,1.9,7.4,4.0,1993
181,Wade Baldwin IV,Vanderbilt,USA,3.1,1.4,1.2,0.0,2016
182,Renaldo Balkman,South Carolina,USA,4.0,0.6,3.5,0.0,2006
183,Cedric Ball,North Carolina-Charlotte,USA,1.1,0.0,1.6,0.0,Undrafted
184,Lonzo Ball,UCLA,USA,14.2,5.6,4.2,,2017
185,Greg Ballard,Oregon,USA,12.4,2.2,6.1,0.0,1977
186,Herschel Baltimore,Penn State,USA,2.4,0.3,,0.0,Undrafted
187,Mo Bamba,Texas-Austin,USA,4.6,0.3,3.9,,2018
188,Gene Banks,Duke,USA,11.3,2.9,5.8,0.0,1981
189,Marcus Banks,UNLV,USA,5.9,2.1,1.5,0.0,2003
190,Ken Bannister,St. Augustine's,USA,5.9,0.4,3.5,0.0,1984
191,Mike Bantom,St. Joseph's (PA),USA,12.1,2.3,6.4,0.0,1973
192,John Barber,California State-Los Angeles,USA,1.4,0.0,1.2,0.0,1956
193,Leandro Barbosa,Bauru,Brazil,10.6,2.1,2.0,0.0,2003
194,Stephen Bardo,Illinois,USA,2.2,1.3,1.8,0.0,1990
195,J.J. Barea,Northeastern,Puerto Rico,8.9,3.9,2.1,0.0,Undrafted
196,Andrea Bargnani,Benetton Treviso,Italy,14.3,1.2,4.6,0.0,2006
197,Cliff Barker,Kentucky,USA,3.7,2.0,1.8,0.0,1949
198,Tom Barker,Hawaii,USA,6.5,0.8,5.3,0.0,1976
199,Charles Barkley,Auburn,USA,22.1,3.9,11.7,9.0,1984
200,Erick Barkley,St. John's,USA,2.9,1.5,0.8,0.0,2000
201,Don Barksdale,UCLA,USA,11.0,2.1,8.0,1.0,Undrafted
202,Harrison Barnes,North Carolina,USA,16.3,3.7,6.5,,2012
203,Harry Barnes,Northeastern,USA,2.0,0.2,1.2,0.0,1968
204,Jim Barnes,Texas-El Paso,USA,8.8,0.8,6.5,0.0,1964
205,Marvin Barnes,Providence,USA,9.2,1.5,5.5,0.0,1974
206,Matt Barnes,UCLA,USA,8.2,1.8,4.6,0.0,2002
207,Dick Barnett,Tennessee State,USA,15.8,2.8,2.9,1.0,1959
208,Jim Barnett,Oregon,USA,11.7,3.0,3.1,0.0,1966
209,John Barnhill,Tennessee State,USA,8.6,2.8,2.8,0.0,1959
210,Norton Barnhill,Washington State,USA,1.0,0.3,0.8,0.0,1976
211,Leo Barnhorst,Notre Dame,USA,9.4,3.2,5.4,2.0,1949
212,John Barr,Penn State,USA,5.1,0.9,,0.0,Undrafted
213,Mike Barr,Duquesne,USA,3.9,2.4,1.8,0.0,1972
214,Thomas Barr,Duquesne,USA,2.0,0.9,0.6,0.0,Undrafted
215,Andre Barrett,Seton Hall,USA,3.3,2.0,1.1,0.0,Undrafted
216,Ernie Barrett,Kansas State,USA,4.9,1.7,2.6,0.0,1951
217,RJ Barrett,Duke,Canada,17.3,3.0,6.1,,2019
218,Earl Barron,Memphis,USA,4.6,0.5,3.5,0.0,Undrafted
219,Dana Barros,Boston College,USA,10.5,3.3,1.9,1.0,1989
220,Brent Barry,Oregon State,USA,9.3,3.2,3.0,0.0,1995
221,Drew Barry,Georgia Tech,USA,2.2,1.9,1.1,0.0,1996
222,Jon Barry,Georgia Tech,USA,5.7,2.2,1.8,0.0,1992
223,Rick Barry,Miami,USA,23.2,5.1,6.5,7.0,1965
224,Ed Bartels,North Carolina State,USA,4.2,1.0,4.9,0.0,Undrafted
225,Vic Bartolome,Oregon State,USA,0.9,0.1,1.6,0.0,1970
226,Will Barton,Memphis,USA,13.0,3.2,4.1,,2012
227,Eddie Basden,North Carolina-Charlotte,USA,2.1,0.4,1.5,0.0,Undrafted
228,Jerry Baskerville,Temple,USA,1.2,0.1,1.3,0.0,Undrafted
229,Brandon Bass,Louisiana State,USA,8.7,0.8,4.5,0.0,2005
230,Tim Bassett,Georgia,USA,5.9,1.2,6.4,0.0,1973
231,Maceo Baston,Michigan,USA,2.7,0.2,1.7,0.0,1998
232,Mengke Bateer,Beijing,China,3.4,0.6,2.5,0.0,Undrafted
233,Billyray Bates,Kentucky State,USA,11.7,1.9,1.7,0.0,1978
234,Keita Bates-Diop,Ohio State,USA,2.1,0.4,1.3,,2018
235,Esteban Batista,Trouville,Uruguay,1.7,0.2,2.5,0.0,Undrafted
236,Mike Batiste,Arizona State,USA,6.4,0.7,3.4,0.0,Undrafted
237,Tony Battie,Texas Tech,USA,6.1,0.6,5.1,0.0,1997
238,Shane Battier,Duke,USA,8.6,1.8,4.2,0.0,2001
239,John Battle,Rutgers,USA,8.7,2.1,1.3,0.0,1985
240,Kenny Battle,Illinois,USA,4.7,0.8,2.4,0.0,1989
241,Dave Batton,Notre Dame,USA,3.2,0.6,2.1,0.0,1978
242,Nicolas Batum,Le Mans,France,8.6,2.3,4.7,,2008
243,Johnny Baum,Temple,USA,4.5,0.5,2.0,0.0,1969
244,Frankie Baumholtz,Ohio,USA,14.0,1.2,,0.0,Undrafted
245,Lonny Baxter,Maryland,USA,3.9,0.2,2.9,0.0,2002
246,Jerryd Bayless,Arizona,USA,8.4,2.9,2.1,0.0,2008
247,Elgin Baylor,Seattle,USA,27.4,4.3,13.5,11.0,1958
248,Aron Baynes,Washington State,Australia,6.1,0.9,5.5,,Undrafted
249,Sergei Bazarevich,Tofas S.K.,Russia,3.0,1.4,0.7,0.0,Undrafted
250,Kent Bazemore,Old Dominion,USA,6.1,1.6,2.9,,Undrafted
251,Darius Bazley,Princeton HS (OH),USA,11.9,1.5,7.5,,2019
252,Ed Beach,West Virginia,USA,1.8,0.3,2.1,0.0,1950
253,Bradley Beal,Florida,USA,31.8,4.6,5.1,,2012
254,Butch Beard,Louisville,USA,9.3,3.6,3.4,1.0,1969
255,Ralph Beard,Kentucky,USA,15.9,4.4,3.8,1.0,1949
256,Jerome Beasley,North Dakota,USA,1.0,0.0,0.5,0.0,2003
257,Malik Beasley,Florida State,USA,20.5,2.5,4.6,,2016
258,Michael Beasley,Kansas State,USA,12.4,1.3,4.7,0.0,2008
259,Zelmo Beaty,Prairie View A&M,USA,16.0,1.5,10.4,2.0,1962
260,Rodrigue Beaubois,Cholet,France,7.1,2.1,1.9,0.0,2009
261,Byron Beck,Denver,USA,4.7,0.6,1.8,0.0,1967
262,Corey Beck,Arkansas,USA,2.7,1.4,1.4,0.0,Undrafted
263,Ernie Beck,Pennsylvania,USA,6.3,1.8,3.2,0.0,1953
264,Moe Becker,Duquesne,USA,3.8,0.7,,0.0,Undrafted
265,William Bedford,Memphis,USA,4.1,0.5,2.4,0.0,1986
266,Hank Beenders,Long Island-Brooklyn,USA,8.4,0.5,,0.0,Undrafted
267,Ron Behagen,Minnesota,USA,10.3,1.6,7.0,0.0,1973
268,Elmer Behnke,Bradley,USA,4.0,1.0,4.3,0.0,1951
269,Marco Belinelli,Fortitudo Bologna,Italy,9.7,1.7,2.1,0.0,2007
270,Charlie Bell,Michigan State,USA,8.5,2.3,2.2,0.0,Undrafted
271,Dennis Bell,Drake,USA,2.8,0.4,1.9,0.0,1973
272,Jordan Bell,Oregon,USA,3.3,1.7,5.3,,2017
273,Raja Bell,Florida International,U.S. Virgin Islands,9.9,1.7,2.8,0.0,Undrafted
274,Troy Bell,Boston College,USA,1.8,0.7,0.7,0.0,2003
275,William Bell,North Carolina State,USA,5.1,1.6,2.6,0.0,Undrafted
276,Walt Bellamy,Indiana,USA,20.1,2.4,13.7,4.0,1961
277,DeAndre' Bembry,St. Joseph's (PA),USA,4.6,1.9,2.3,,2016
278,Irv Bemoras,Illinois,USA,6.3,1.0,2.6,0.0,1953
279,Leon Benbow,Jacksonville,USA,5.5,1.6,1.9,0.0,1974
280,Dragan Bender, ,Croatia,5.4,1.3,3.9,0.0,2016
281,Jonathan Bender,Picayune HS (MS),USA,5.5,0.6,2.2,0.0,1999
282,Jerrelle Benimon,Towson,USA,0.0,0.0,1.5,0.0,Undrafted
283,Benoit Benjamin,Creighton,USA,11.4,1.3,7.5,0.0,1985
284,Corey Benjamin,Oregon State,USA,5.5,0.9,1.7,0.0,1998
285,Anthony Bennett,UNLV,Canada,4.4,0.5,3.1,0.0,2013
286,Elmer Bennett,Notre Dame,USA,2.3,1.0,0.5,0.0,1992
287,Mario Bennett,Arizona State,USA,4.0,0.4,2.7,0.0,1995
288,Mel Bennett,Pittsburgh,USA,3.9,0.8,3.3,0.0,Undrafted
289,Tony Bennett,Wisconsin-Green Bay,USA,3.5,2.0,1.0,0.0,1992
290,Winston Bennett,Kentucky,USA,4.8,0.9,3.0,0.0,1988
291,David Benoit,Alabama,USA,7.0,0.6,4.0,0.0,Undrafted
292,Keith Benson,Oakland,USA,0.0,0.0,1.0,0.0,2011
293,Kent Benson,Indiana,USA,9.1,1.8,5.7,0.0,1977
294,Ben Bentil,Providence,Ghana,0.0,0.0,0.7,0.0,2016
295,Gene Berce,Marquette,USA,3.3,0.7,,0.0,1948
296,Gary Bergen,Utah,USA,1.3,0.2,1.3,0.0,1956
297,Ricky Berry,San Jose State,USA,11.0,1.3,3.1,0.0,1988
298,Walter Berry,St. John's,USA,14.1,1.4,4.7,0.0,1986
299,Dairis Bertans,Olimpia Milano,Latvia,2.8,0.8,0.8,0.0,Undrafted
300,Davis Bertans,Baskonia,Latvia,10.8,0.9,2.9,,2011
301,Del Beshore,California (PA),USA,3.5,2.0,0.9,0.0,Undrafted
302,Travis Best,Georgia Tech,USA,7.6,3.5,1.8,0.0,1995
303,Patrick Beverley,Arkansas,USA,8.3,2.1,3.7,,2009
304,Sim Bhullar,New Mexico State,Canada,0.7,0.3,0.3,0.0,Undrafted
305,Al Bianchi,Bowling Green,USA,8.1,2.2,2.5,0.0,1954
306,Hank Biasatti,Assumption,Canada,1.0,0.0,,0.0,1947
307,Henry Bibby,UCLA,USA,8.6,3.3,2.3,0.0,1972
308,Mike Bibby,Arizona,USA,14.7,5.5,3.1,0.0,1998
309,Ed Biedenbach,North Carolina State,USA,0.6,0.4,0.3,0.0,1968
310,Andris Biedrins,BK Skonto,Latvia,6.3,0.9,7.0,0.0,2004
311,Don Bielke,Valparaiso,USA,2.0,0.1,1.3,0.0,1954
312,Bob Bigelow,Pennsylvania,USA,2.5,0.4,1.2,0.0,1975
313,Chauncey Billups,Colorado,USA,15.2,5.4,2.9,5.0,1997
314,Dave Bing,Syracuse,USA,20.3,6.0,3.8,7.0,1966
315,Joe Binion,North Carolina A&T,USA,1.3,0.1,1.6,0.0,1984
316,Khem Birch,UNLV,Canada,5.5,1.0,5.2,,Undrafted
317,Jabari Bird,California,USA,3.0,0.6,1.5,0.0,2017
318,Jerry Bird,Kentucky,USA,2.3,0.4,1.1,0.0,1956
319,Larry Bird,Indiana State,USA,24.3,6.3,10.0,10.0,1978
320,Otis Birdsong,Houston,USA,18.0,3.2,3.0,4.0,1977
321,Gale Bishop,Washington State,USA,8.3,1.6,,0.0,Undrafted
322,Goga Bitadze,Mega Basket,Georgia,3.8,0.3,2.2,,2019
323,Bismack Biyombo,Baloncesto Fuenlabrada,DRC,5.5,1.3,5.5,,2011
324,Nemanja Bjelica,Fenerbahce,Serbia,7.2,1.9,3.8,,2010
325,Uwe Blab,Indiana,USA,2.1,0.4,1.8,0.0,1985
326,Charlie Black,Kansas,USA,9.2,2.3,2.4,0.0,Undrafted
327,Norman Black,St. Joseph's (PA),USA,2.7,0.7,0.7,0.0,Undrafted
328,Tarik Black,Kansas,USA,4.9,0.5,4.7,0.0,Undrafted
329,Tom Black,South Dakota State,USA,4.2,0.6,3.6,0.0,1964
330,Rolando Blackman,Kansas State,USA,18.0,3.0,3.3,4.0,1981
331,Alex Blackwell,Monmouth,USA,1.3,0.3,0.9,0.0,Undrafted
332,Cory Blackwell,Wisconsin,USA,3.4,0.4,1.6,0.0,1984
333,James Blackwell,Dartmouth,USA,1.4,0.8,0.8,0.0,Undrafted
334,Nate Blackwell,Temple,USA,3.7,1.8,0.6,0.0,1987
335,DeJuan Blair,Pittsburgh,USA,6.8,0.8,5.1,0.0,2009
336,Steve Blake,Maryland,USA,6.5,4.0,2.1,0.0,2003
337,Marqus Blakely,Vermont,USA,,,,,Undrafted
338,Antonio Blakeney,Louisiana State,USA,7.5,0.8,1.8,0.0,Undrafted
339,Will Blalock,Iowa State,USA,1.8,1.2,1.1,0.0,2006
340,George Blaney,Holy Cross,USA,3.3,1.3,1.0,0.0,1961
341,Lance Blanks,Texas,USA,2.0,0.8,0.8,0.0,1990
342,Ricky Blanton,Louisiana State,USA,3.0,0.5,1.5,0.0,1989
343,Andray Blatche,South Kent HS (CT),USA,10.1,1.4,5.4,0.0,2005
344,Mookie Blaylock,Oklahoma,USA,13.5,6.7,4.1,1.0,1989
345,Eric Bledsoe,Kentucky,USA,11.3,3.7,3.4,,2010
346,Leon Blevins,Arizona,USA,0.7,0.3,0.7,0.0,1950
347,John Block,Southern California,USA,11.9,1.3,6.6,1.0,1966
348,Mike Bloom,Temple,USA,6.8,0.8,,0.0,Undrafted
349,Jaron Blossomgame,Clemson,USA,4.2,0.5,3.6,0.0,2017
350,Corie Blount,Cincinnati,USA,3.6,0.7,4.2,0.0,1993
351,Mark Blount,Pittsburgh,USA,8.2,0.8,4.6,0.0,1997
352,Vander Blue,Marquette,USA,3.0,1.2,1.3,0.0,Undrafted
353,Trevon Bluiett,Xavier,USA,,,,,2018
354,Ray Blume,Oregon State,USA,4.6,1.4,0.8,0.0,1981
355,Nelson Bobb,Temple,USA,4.6,2.1,2.4,0.0,1949
