,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
2358,Tim Legler,La Salle,USA,7.0,1.3,1.6,0.0,Undrafted
2359,George Lehmann,Campbell,USA,3.2,1.8,0.8,0.0,Undrafted
2360,Walt Lemon Jr.,Bradley,USA,9.4,3.2,2.6,0.0,Undrafted
2361,Alex Len,Maryland,Ukraine,6.1,0.9,3.6,,2013
2362,Voshon Lenard,Minnesota,USA,11.9,2.1,2.8,0.0,1994
2363,Bob Leonard,Indiana,USA,9.9,3.3,2.9,0.0,1954
2364,Gary Leonard,Missouri,USA,1.4,0.1,1.1,0.0,1989
2365,Kawhi Leonard,San Diego State,USA,25.9,4.9,6.3,,2011
2366,Meyers Leonard,Illinois,USA,3.3,0.7,2.3,,2012
2367,Jim Les,Bradley,USA,3.8,2.9,1.2,0.0,1986
2368,Travis Leslie,Georgia,USA,1.4,0.5,0.9,0.0,2011
2369,Ronnie Lester,Iowa,USA,7.3,4.0,1.9,0.0,1980
2370,Clifford Lett,Florida,USA,3.5,0.7,0.6,0.0,Undrafted
2371,Jon Leuer,Wisconsin,USA,6.4,0.8,3.8,0.0,2011
2372,Andrew Levane,St. John's,USA,4.5,2.0,1.3,0.0,Undrafted
2373,Lafayette Lever,Arizona State,USA,13.9,6.2,6.0,2.0,1982
2374,Cliff Levingston,Wichita State,USA,7.1,0.9,5.2,0.0,1982
2375,Bobby Lewis,North Carolina,USA,5.8,2.2,2.1,0.0,1967
2376,Cedric Lewis,Maryland,USA,1.3,0.0,0.7,0.0,Undrafted
2377,Fred Lewis,Eastern Kentucky,USA,8.4,1.4,,0.0,Undrafted
2378,Freddie Lewis,Arizona State,USA,5.8,1.5,1.4,0.0,1966
2379,Grady Lewis,Oklahoma,USA,5.4,0.9,,0.0,Undrafted
2380,Martin Lewis,Seward County CC,USA,3.6,0.3,1.4,0.0,1995
2381,Quincy Lewis,Minnesota,USA,3.6,0.6,1.3,0.0,1999
2382,Ralph Lewis,La Salle,USA,2.3,0.3,1.2,0.0,1985
2383,Rashard Lewis,Elsik HS (TX),USA,14.9,1.7,5.2,2.0,1998
2384,Reggie Lewis,Northeastern,USA,17.6,2.6,4.3,1.0,1987
2385,Marcus Liberty,Illinois,USA,7.3,0.9,3.5,0.0,1990
2386,Todd Lichti,Stanford,USA,7.9,1.4,2.1,0.0,1989
2387,DeAndre Liggins,Kentucky,USA,2.0,0.7,1.4,0.0,2011
2388,Bill Ligon,Vanderbilt,USA,3.3,0.7,0.7,0.0,1974
2389,Damian Lillard,Weber State,USA,30.1,7.7,4.4,,2012
2390,Jeremy Lin,Harvard,USA,11.6,4.3,2.8,0.0,Undrafted
2391,Steve Lingenfelter,South Dakota State,USA,1.0,0.5,1.6,0.0,1981
2392,Alton Lister,Arizona State,USA,6.6,1.0,6.3,0.0,1981
2393,Nassir Little,North Carolina,USA,5.3,0.4,2.6,,2019
